date,county,state,cases,deaths
2020-07-05,Monterey,California,2064,15.0
2020-07-05,Napa,California,427,4.0
2020-07-05,Nevada,California,129,1.0
2020-07-05,Orange,California,19247,363.0
2020-07-05,Placer,California,877,11.0
2020-07-05,Plumas,California,11,0.0
2020-07-05,Riverside,California,21508,479.0
2020-07-05,Sacramento,California,4235,69.0
2020-07-05,San Benito,California,273,2.0
2020-07-05,San Bernardino,California,14922,269.0
2020-07-05,San Diego,California,16789,387.0
2020-07-05,San Francisco,California,3864,50.0
2020-07-05,San Joaquin,California,4807,55.0
2020-07-05,San Luis Obispo,California,699,2.0
2020-07-05,San Mateo,California,3536,108.0
2020-07-05,Santa Barbara,California,3520,29.0
2020-07-05,Santa Clara,California,5273,162.0
2020-07-05,Santa Cruz,California,466,3.0
2020-07-05,Shasta,California,154,5.0
2020-07-05,Sierra,California,1,0.0
2020-07-05,Siskiyou,California,31,0.0
2020-07-05,Solano,California,1553,25.0
2020-07-05,Sonoma,California,1370,11.0
2020-07-05,Stanislaus,California,3572,45.0
2020-07-05,Sutter,California,252,3.0
2020-07-05,Tehama,California,92,1.0
2020-07-05,Trinity,California,3,0.0
2020-07-05,Tulare,California,4802,136.0
2020-07-05,Tuolumne,California,43,0.0
2020-07-05,Ventura,California,3687,47.0
2020-07-05,Yolo,California,677,26.0
2020-07-05,Yuba,California,128,2.0
2020-07-06,Alameda,California,6908,140.0
2020-07-06,Alpine,California,1,0.0
2020-07-06,Amador,California,31,0.0
2020-07-06,Butte,California,268,3.0
2020-07-06,Calaveras,California,53,0.0
2020-07-06,Colusa,California,83,0.0
2020-07-06,Contra Costa,California,3878,85.0
2020-07-06,Del Norte,California,58,0.0
2020-07-06,El Dorado,California,262,0.0
2020-07-06,Fresno,California,6599,78.0
2020-07-06,Glenn,California,129,0.0
2020-07-06,Humboldt,California,149,4.0
2020-07-06,Imperial,California,7190,116.0
2020-07-06,Inyo,California,32,1.0
2020-07-06,Kern,California,5379,82.0
2020-07-06,Kings,California,2717,37.0
2020-07-06,Lake,California,96,1.0
2020-07-06,Lassen,California,242,0.0
2020-07-06,Los Angeles,California,116570,3534.0
2020-07-06,Madera,California,713,7.0
2020-07-06,Marin,California,2871,19.0
2020-07-06,Mariposa,California,31,1.0
2020-07-06,Mendocino,California,92,0.0
2020-07-06,Merced,California,1530,11.0
2020-07-06,Mono,California,48,1.0
2020-07-06,Monterey,California,2151,15.0
2020-07-06,Napa,California,451,4.0
2020-07-06,Nevada,California,145,1.0
2020-07-06,Orange,California,19430,366.0
2020-07-06,Placer,California,911,11.0
2020-07-06,Plumas,California,11,0.0
2020-07-06,Riverside,California,21511,486.0
2020-07-06,Sacramento,California,4394,74.0
2020-07-06,San Benito,California,284,2.0
2020-07-06,San Bernardino,California,15345,269.0
