date,county,state,cases,deaths
2021-01-04,Trinity,California,244,4.0
2021-01-04,Tulare,California,34742,419.0
2021-01-04,Tuolumne,California,3045,22.0
2021-01-04,Ventura,California,43747,289.0
2021-01-04,Yolo,California,8673,117.0
2021-01-04,Yuba,California,4068,21.0
2021-01-05,Alameda,California,55920,681.0
2021-01-05,Alpine,California,68,0.0
2021-01-05,Amador,California,2595,24.0
2021-01-05,Butte,California,7963,100.0
2021-01-05,Calaveras,California,1276,22.0
2021-01-05,Colusa,California,1438,9.0
2021-01-05,Contra Costa,California,43223,348.0
2021-01-05,Del Norte,California,783,2.0
2021-01-05,El Dorado,California,6152,24.0
2021-01-05,Fresno,California,69871,711.0
2021-01-05,Glenn,California,1590,16.0
2021-01-05,Humboldt,California,1928,23.0
2021-01-05,Imperial,California,23035,433.0
2021-01-05,Inyo,California,623,22.0
2021-01-05,Kern,California,72878,518.0
2021-01-05,Kings,California,16870,110.0
2021-01-05,Lake,California,1984,24.0
2021-01-05,Lassen,California,4874,10.0
2021-01-05,Los Angeles,California,840956,11071.0
2021-01-05,Madera,California,11280,126.0
2021-01-05,Marin,California,10286,140.0
2021-01-05,Mariposa,California,277,4.0
2021-01-05,Mendocino,California,2714,31.0
2021-01-05,Merced,California,20774,266.0
2021-01-05,Modoc,California,351,1.0
2021-01-05,Mono,California,895,4.0
2021-01-05,Monterey,California,30110,216.0
2021-01-05,Napa,California,6199,30.0
2021-01-05,Nevada,California,2774,50.0
2021-01-05,Orange,California,181850,1926.0
2021-01-05,Placer,California,14800,132.0
2021-01-05,Plumas,California,419,4.0
2021-01-05,Riverside,California,200056,2098.0
2021-01-05,Sacramento,California,70163,917.0
2021-01-05,San Benito,California,3952,34.0
2021-01-05,San Bernardino,California,213357,1450.0
2021-01-05,San Diego,California,172910,1654.0
2021-01-05,San Francisco,California,24756,198.0
2021-01-05,San Joaquin,California,49306,672.0
2021-01-05,San Luis Obispo,California,11945,90.0
2021-01-05,San Mateo,California,26150,234.0
2021-01-05,Santa Barbara,California,19019,173.0
2021-01-05,Santa Clara,California,76235,772.0
2021-01-05,Santa Cruz,California,9700,93.0
2021-01-05,Shasta,California,8463,79.0
2021-01-05,Sierra,California,30,0.0
2021-01-05,Siskiyou,California,1239,11.0
2021-01-05,Solano,California,21228,102.0
2021-01-05,Sonoma,California,20210,204.0
2021-01-05,Stanislaus,California,39797,638.0
2021-01-05,Sutter,California,6797,62.0
2021-01-05,Tehama,California,3190,37.0
2021-01-05,Trinity,California,246,4.0
2021-01-05,Tulare,California,35286,421.0
2021-01-05,Tuolumne,California,3063,22.0
2021-01-05,Ventura,California,45014,297.0
2021-01-05,Yolo,California,8834,123.0
2021-01-05,Yuba,California,4221,23.0
2021-01-06,Alameda,California,56453,697.0
2021-01-06,Alpine,California,70,0.0
2021-01-06,Amador,California,2694,24.0
2021-01-06,Butte,California,8096,100.0
2021-01-06,Calaveras,California,1292,22.0
2021-01-06,Colusa,California,1468,9.0
2021-01-06,Contra Costa,California,44274,353.0
2021-01-06,Del Norte,California,791,2.0
2021-01-06,El Dorado,California,6270,27.0
2021-01-06,Fresno,California,70971,711.0
2021-01-06,Glenn,California,1847,16.0
2021-01-06,Humboldt,California,1957,23.0
2021-01-06,Imperial,California,23165,436.0
2021-01-06,Inyo,California,627,22.0
2021-01-06,Kern,California,73892,521.0
2021-01-06,Kings,California,16889,110.0
2021-01-06,Lake,California,2015,25.0
2021-01-06,Lassen,California,4912,10.0
2021-01-06,Los Angeles,California,852510,11328.0
2021-01-06,Madera,California,11359,126.0
2021-01-06,Marin,California,10346,143.0
2021-01-06,Mariposa,California,286,4.0
2021-01-06,Mendocino,California,2751,31.0
2021-01-06,Merced,California,20915,269.0
2021-01-06,Modoc,California,351,1.0
2021-01-06,Mono,California,896,4.0
2021-01-06,Monterey,California,30521,220.0
2021-01-06,Napa,California,6283,32.0
2021-01-06,Nevada,California,2808,50.0
2021-01-06,Orange,California,185125,1943.0
2021-01-06,Placer,California,15015,132.0
2021-01-06,Plumas,California,428,4.0
2021-01-06,Riverside,California,203957,2151.0
2021-01-06,Sacramento,California,70676,941.0
2021-01-06,San Benito,California,4035,34.0
2021-01-06,San Bernardino,California,214813,1454.0
2021-01-06,San Diego,California,176725,1691.0
2021-01-06,San Francisco,California,24992,203.0
2021-01-06,San Joaquin,California,49682,683.0
2021-01-06,San Luis Obispo,California,12185,95.0
2021-01-06,San Mateo,California,26497,234.0
2021-01-06,Santa Barbara,California,19448,181.0
2021-01-06,Santa Clara,California,77366,800.0
2021-01-06,Santa Cruz,California,9891,97.0
2021-01-06,Shasta,California,8574,89.0
2021-01-06,Sierra,California,31,0.0
2021-01-06,Siskiyou,California,1259,11.0
2021-01-06,Solano,California,21525,102.0
2021-01-06,Sonoma,California,20501,213.0
2021-01-06,Stanislaus,California,40294,649.0
2021-01-06,Sutter,California,6858,66.0
2021-01-06,Tehama,California,3255,38.0
2021-01-06,Trinity,California,247,4.0
2021-01-06,Tulare,California,35890,433.0
2021-01-06,Tuolumne,California,3122,22.0
2021-01-06,Ventura,California,46456,305.0
2021-01-06,Yolo,California,8980,125.0
2021-01-06,Yuba,California,4294,24.0
2021-01-07,Alameda,California,57102,713.0
2021-01-07,Alpine,California,70,0.0
2021-01-07,Amador,California,2716,26.0
2021-01-07,Butte,California,8217,102.0
2021-01-07,Calaveras,California,1321,22.0
2021-01-07,Colusa,California,1529,9.0
2021-01-07,Contra Costa,California,44967,371.0
2021-01-07,Del Norte,California,799,2.0
2021-01-07,El Dorado,California,6397,31.0
2021-01-07,Fresno,California,71404,711.0
2021-01-07,Glenn,California,1887,16.0
2021-01-07,Humboldt,California,1998,23.0
2021-01-07,Imperial,California,23400,443.0
2021-01-07,Inyo,California,630,27.0
2021-01-07,Kern,California,74732,523.0
2021-01-07,Kings,California,17086,110.0
2021-01-07,Lake,California,2033,25.0
2021-01-07,Lassen,California,4947,11.0
2021-01-07,Los Angeles,California,871749,11545.0
2021-01-07,Madera,California,11532,126.0
2021-01-07,Marin,California,10468,143.0
2021-01-07,Mariposa,California,296,4.0
2021-01-07,Mendocino,California,2801,31.0
2021-01-07,Merced,California,21139,275.0
2021-01-07,Modoc,California,357,3.0
2021-01-07,Mono,California,905,4.0
2021-01-07,Monterey,California,30706,229.0
2021-01-07,Napa,California,6343,33.0
2021-01-07,Nevada,California,2854,50.0
2021-01-07,Orange,California,188013,1972.0
2021-01-07,Placer,California,15233,142.0
2021-01-07,Plumas,California,445,5.0
2021-01-07,Riverside,California,204327,2189.0
2021-01-07,Sacramento,California,71571,955.0
2021-01-07,San Benito,California,4127,35.0
2021-01-07,San Bernardino,California,216394,1454.0
2021-01-07,San Diego,California,180575,1738.0
2021-01-07,San Francisco,California,25427,205.0
2021-01-07,San Joaquin,California,50104,696.0
2021-01-07,San Luis Obispo,California,12597,95.0
2021-01-07,San Mateo,California,27050,234.0
2021-01-07,Santa Barbara,California,19953,185.0
2021-01-07,Santa Clara,California,78683,816.0
2021-01-07,Santa Cruz,California,10108,104.0
2021-01-07,Shasta,California,8741,95.0
2021-01-07,Sierra,California,31,0.0
2021-01-07,Siskiyou,California,1280,12.0
2021-01-07,Solano,California,21860,102.0
2021-01-07,Sonoma,California,20752,214.0
2021-01-07,Stanislaus,California,40854,657.0
2021-01-07,Sutter,California,6921,69.0
2021-01-07,Tehama,California,3306,39.0
2021-01-07,Trinity,California,247,4.0
2021-01-07,Tulare,California,36214,442.0
2021-01-07,Tuolumne,California,3158,23.0
2021-01-07,Ventura,California,47428,313.0
2021-01-07,Yolo,California,9083,126.0
2021-01-07,Yuba,California,4383,25.0
2021-01-08,Alameda,California,57942,729.0
2021-01-08,Alpine,California,70,0.0
